index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
0,alfa-romero,convertible,0.006153846153845954,0.41343283582089585,dohc,four,0.26249999999999996,0.23529411764705888,0.20730949837263035
1,alfa-romero,convertible,0.006153846153845954,0.41343283582089585,dohc,four,0.26249999999999996,0.23529411764705888,0.28196973837859324
2,alfa-romero,hatchback,0.18769230769230782,0.4492537313432834,ohcv,six,0.4416666666666666,0.17647058823529416,0.28196973837859324
3,audi,sedan,0.3507692307692305,0.5298507462686568,ohc,four,0.22499999999999998,0.32352941176470584,0.21861412705905736
4,audi,sedan,0.3384615384615386,0.5298507462686568,ohc,five,0.2791666666666667,0.1470588235294118,0.3055728092623419
5,audi,sedan,0.3507692307692305,0.5402985074626869,ohc,five,0.2583333333333333,0.17647058823529416,0.25091306616313447
6,audi,wagon,0.5353846153846153,0.770149253731343,ohc,five,0.2583333333333333,0.17647058823529416,0.34209545578772144
9,bmw,sedan,0.39384615384615396,0.5328358208955226,ohc,four,0.22083333333333333,0.2941176470588236,0.28023056473452757
10,bmw,sedan,0.39384615384615396,0.5328358208955226,ohc,four,0.22083333333333333,0.2941176470588236,0.29252900693184924
11,bmw,sedan,0.39384615384615396,0.5328358208955226,ohc,six,0.30416666666666664,0.23529411764705888,0.3930283982210738
13,bmw,sedan,0.46461538461538465,0.7149253731343284,ohc,six,0.5583333333333333,0.08823529411764708,0.6362642550125469
14,bmw,sedan,0.46461538461538465,0.7865671641791048,ohc,six,0.5583333333333333,0.08823529411764708,0.8985067951998807
15,bmw,sedan,0.6646153846153848,0.8343283582089551,ohc,six,0.5583333333333333,0.05882352941176472,0.788317722179433
16,chevrolet,hatchback,0.0,0.0,l,three,0.0,1.0,0.0
17,chevrolet,hatchback,0.18769230769230782,0.22089552238805998,ohc,four,0.09166666666666667,0.7352941176470589,0.028423066411587844
18,chevrolet,sedan,0.18769230769230782,0.2641791044776123,ohc,four,0.09166666666666667,0.7352941176470589,0.03537976098785062
19,dodge,hatchback,0.16307692307692312,0.2417910447761198,ohc,four,0.08333333333333331,0.5294117647058824,0.030460384108921962
20,dodge,hatchback,0.16307692307692312,0.2417910447761198,ohc,four,0.08333333333333331,0.5294117647058824,0.026783274118611644
27,honda,wagon,0.24923076923076914,0.23880597014925353,ohc,four,0.11666666666666664,0.5,0.05326840418395487
28,honda,sedan,0.24923076923076914,0.5119402985074628,ohc,four,0.22083333333333333,0.32352941176470584,0.19364456259782853
29,honda,sedan,0.24923076923076914,0.4179104477611939,ohc,four,0.21666666666666667,0.3529411764705882,0.12904668438967426
30,isuzu,sedan,0.18153846153846143,0.4417910447761191,ohc,four,0.125,0.32352941176470584,0.04059728192004769
31,isuzu,sedan,0.18769230769230782,0.22089552238805998,ohc,four,0.09166666666666667,0.7352941176470589,
32,isuzu,sedan,0.18769230769230782,0.22089552238805998,ohc,four,0.09166666666666667,0.7352941176470589,
33,jaguar,sedan,0.7569230769230768,0.8731343283582089,dohc,six,0.5333333333333332,0.05882352941176472,0.6732838082933738
34,jaguar,sedan,0.7569230769230768,0.8731343283582089,dohc,six,0.5333333333333332,0.05882352941176472,0.7552734229421849
35,jaguar,sedan,0.41846153846153866,0.7552238805970148,ohcv,twelve,0.8916666666666666,0.0,0.76645382493975
36,mazda,hatchback,0.14461538461538437,0.26865671641791034,ohc,four,0.08333333333333331,0.5,0.0010931948619841425
37,mazda,hatchback,0.14461538461538437,0.26865671641791034,ohc,four,0.08333333333333331,0.5294117647058824,0.02345399885711444
38,mazda,hatchback,0.14461538461538437,0.26865671641791034,ohc,four,0.08333333333333331,0.5294117647058824,0.04084573529777136
39,mazda,hatchback,0.2123076923076921,0.4164179104477612,rotor,two,0.22083333333333333,0.11764705882352944,0.16631469104822477
43,mazda,sedan,0.5076923076923077,0.5059701492537312,ohc,four,0.09999999999999998,0.5294117647058824,0.327784541230838
44,mercedes-benz,sedan,0.6646153846153848,0.7432835820895525,ohc,five,0.31249999999999994,0.26470588235294124,0.5068697358940595
45,mercedes-benz,wagon,0.6646153846153848,0.7432835820895525,ohc,five,0.31249999999999994,0.26470588235294124,0.5738527665283609
46,mercedes-benz,sedan,1.0,1.0,ohcv,eight,0.5666666666666667,0.02941176470588236,0.8896867002906904
47,mercedes-benz,hardtop,0.7261538461538461,0.8671641791044773,ohcv,eight,0.5666666666666667,0.02941176470588236,0.9999999999999999
49,mitsubishi,hatchback,0.16307692307692312,0.2417910447761198,ohc,four,0.08333333333333331,0.7058823529411764,0.005913190389823353
50,mitsubishi,hatchback,0.16307692307692312,0.2417910447761198,ohc,four,0.08333333333333331,0.5294117647058824,0.025789460607716946
51,mitsubishi,sedan,0.24307692307692275,0.46716417910447783,ohc,four,0.16666666666666663,0.3529411764705882,0.04566573082561057
52,mitsubishi,sedan,0.24307692307692275,0.46716417910447783,ohc,four,0.16666666666666663,0.3529411764705882,0.07548013615245097
53,nissan,sedan,0.18769230769230782,0.36119402985074656,ohc,four,0.029166666666666646,0.9411764705882353,0.04839871798057094
54,nissan,sedan,0.18769230769230782,0.36119402985074656,ohc,four,0.08749999999999997,0.5294117647058824,0.03721831598300579
55,nissan,sedan,0.18769230769230782,0.36119402985074656,ohc,four,0.08749999999999997,0.5294117647058824,0.042187383537479195
